iter	Logloss
0	0.6626146922
1	0.6285250726
2	0.6031488749
3	0.5728868126
4	0.5516656886
5	0.5250306485
6	0.5025977979
7	0.4811912043
8	0.4629837778
9	0.4459075815
10	0.4267801803
11	0.4089970541
12	0.3916671268
13	0.3767013852
14	0.3658963658
15	0.3550935578
16	0.3443963427
17	0.3315051386
18	0.323337688
19	0.3133330246
20	0.3060592939
21	0.2986394511
22	0.2887870992
23	0.2821896674
24	0.273293364
25	0.26794955
26	0.2626131582
27	0.2568686783
28	0.2506425631
29	0.2445192715
30	0.2405199123
31	0.236688848
32	0.2308444541
33	0.2274750974
34	0.2242682645
35	0.2201493244
36	0.2164111669
37	0.2123950937
38	0.2098372304
39	0.2074006716
40	0.2050788682
41	0.2028665602
42	0.2006504394
43	0.1986437483
44	0.1966792946
45	0.1940349528
46	0.1922177487
47	0.1892153241
48	0.1870153666
49	0.1844832392
50	0.181932164
51	0.1795727815
52	0.1771280588
53	0.1758842561
54	0.1737932788
55	0.1727925592
56	0.1709021952
57	0.1690415466
58	0.1679341471
59	0.167135995
60	0.1663716162
61	0.165638345
62	0.1649385618
63	0.1636448605
64	0.1630123834
65	0.1624069668
66	0.1612665123
67	0.1601194296
68	0.1586772366
69	0.1574300648
70	0.1569784784
71	0.1557475191
72	0.1553418596
73	0.1547368003
74	0.1536387446
75	0.152574154
76	0.1522489584
77	0.1514500729
78	0.1510431802
79	0.1507619977
80	0.1501915524
81	0.1499133252
82	0.1491711806
83	0.1484078713
84	0.1477777041
85	0.1469784241
86	0.1466038801
87	0.1462419061
88	0.1457900182
89	0.1449956721
90	0.1444195923
91	0.1439138997
92	0.1437748769
93	0.1430017144
94	0.1427112821
95	0.1424073118
96	0.1418191429
97	0.1417137473
98	0.1411015586
99	0.1410068406
100	0.1405186007
101	0.1401529178
102	0.1399188971
103	0.1398328839
104	0.1397583938
105	0.1394585548
106	0.1388754578
107	0.1388118393
108	0.138527686
109	0.1381225842
110	0.1376866082
111	0.1372874586
112	0.1368116983
113	0.1363894014
114	0.1362794152
115	0.1360524103
116	0.1356069404
117	0.1355721217
118	0.1353004939
119	0.1349392754
120	0.1347897983
121	0.1344702419
122	0.1340013187
123	0.1339769964
124	0.1336626471
125	0.1334553159
126	0.1331498794
127	0.1327243688
128	0.1322800392
129	0.1319974438
130	0.1317763579
131	0.1315998728
132	0.1310897125
133	0.130653344
134	0.1306431777
135	0.1304801889
136	0.1302542646
137	0.1299976145
138	0.1297403522
139	0.12958
140	0.1292680044
141	0.1290644805
142	0.128735263
143	0.1285463346
144	0.1283663992
145	0.1281998218
146	0.1280764075
147	0.1278750795
148	0.1276050451
149	0.1274877341
150	0.1273506959
151	0.1270697181
152	0.1269171944
153	0.1266435432
154	0.1266308797
155	0.1266079111
156	0.1263290217
157	0.1261478225
158	0.1260694886
159	0.1258136119
160	0.1257936422
161	0.1257222974
162	0.1255642746
163	0.1253187766
164	0.1250510964
165	0.1248627643
166	0.1246016582
167	0.1243406351
168	0.1243250484
169	0.1240907677
170	0.1239066855
171	0.1236582696
172	0.1235593707
173	0.123514329
174	0.1232871908
175	0.1232447938
176	0.1230294864
177	0.1229291012
178	0.1227846584
179	0.1225222745
180	0.1222772108
181	0.1221492006
182	0.1219470954
183	0.1219089049
184	0.1218940979
185	0.1217034937
186	0.1215275993
187	0.1214974589
188	0.1212194625
189	0.1210783483
190	0.1209667538
191	0.1208174686
192	0.1206542425
193	0.12057208
194	0.1205440683
195	0.1204454071
196	0.1203176817
197	0.1202514735
198	0.1200940457
199	0.1200300795
200	0.119793113
201	0.1195458769
202	0.1193796563
203	0.1192412096
204	0.1191187959
205	0.1189569517
206	0.1188530118
207	0.1187867853
208	0.1186690052
209	0.1185212599
210	0.1184499187
211	0.1183860097
212	0.1183324844
213	0.1182207921
214	0.1180420481
215	0.118030836
216	0.1180001154
217	0.1179277212
218	0.1178135446
219	0.1177929593
220	0.1176117108
221	0.11752726
222	0.1175269177
223	0.1174368385
224	0.1173202478
225	0.1173072965
226	0.117187494
227	0.117052225
228	0.1168631512
229	0.1167514788
230	0.1165515109
231	0.116551077
232	0.1164786584
233	0.1163701311
234	0.1163126436
235	0.1163119799
236	0.1161690873
237	0.1161680305
238	0.1160515246
239	0.1160373195
240	0.1159194439
241	0.115764261
242	0.1156285272
243	0.115574811
244	0.1154627586
245	0.1153494111
246	0.115249991
247	0.1152371542
248	0.1151005861
249	0.1150855978
250	0.1149379317
251	0.1148682297
252	0.1147778531
253	0.1146443796
254	0.1145548192
255	0.1144201539
256	0.1143205063
257	0.1142861748
258	0.114206668
259	0.1142061151
260	0.1141019977
261	0.1140996556
262	0.1140342305
263	0.1139179767
264	0.1137729524
265	0.1137665857
266	0.1136665786
267	0.1135351358
268	0.113502694
269	0.113320363
270	0.1131989277
271	0.1131983374
272	0.1129856824
273	0.1128004449
274	0.1126594609
275	0.1126314875
276	0.1125875619
277	0.1125856982
278	0.1125829083
279	0.1125813587
280	0.1124740743
281	0.1124734879
282	0.112250237
283	0.1122231601
284	0.1122225497
285	0.1121405537
286	0.1121283001
287	0.112002184
288	0.1118701587
289	0.1118402056
290	0.1117719184
291	0.1115698404
292	0.1114942306
293	0.1114432007
294	0.1113875896
295	0.1113657463
296	0.1112894259
297	0.1112867732
298	0.1112819904
299	0.1112571086
300	0.1110535516
301	0.1109937224
302	0.1109637946
303	0.1108385529
304	0.1106917637
305	0.1105407367
306	0.1104319196
307	0.1104280417
308	0.1103593018
309	0.1103586912
310	0.1103555261
311	0.1102949345
312	0.1102739546
313	0.1101264586
314	0.1101259294
315	0.1100806153
316	0.1100617411
317	0.109998112
318	0.1098583088
319	0.1097508477
320	0.1095706226
321	0.1095248653
322	0.1094223903
323	0.1094091867
324	0.1093774244
325	0.1093621245
326	0.109278089
327	0.1091731741
328	0.108923902
329	0.1088156149
330	0.1087520369
331	0.1087514526
332	0.1086873668
333	0.1085719927
334	0.1084217955
335	0.1084212197
336	0.1084206648
337	0.1082407294
338	0.1080614817
339	0.1079301563
340	0.1078788924
341	0.1077827559
342	0.1077083461
343	0.1076499948
344	0.1076053021
345	0.1076003173
346	0.1074650472
347	0.1073837346
348	0.1073598532
349	0.1072741339
350	0.1071653229
351	0.107125424
352	0.10699399
353	0.1068484878
354	0.1068129864
355	0.1067860966
356	0.1067574665
357	0.1067524666
358	0.1067363532
359	0.1067098895
360	0.1067093594
361	0.1067084612
362	0.1066853809
363	0.1066526773
364	0.1065056127
365	0.1064065045
366	0.1062575959
367	0.1062570887
368	0.1061351748
369	0.106111042
370	0.106030474
371	0.105832994
372	0.1058324739
373	0.1057439254
374	0.1056108424
375	0.1054519539
376	0.1053216589
377	0.1052477894
378	0.105153086
379	0.1050925361
380	0.1050178408
381	0.1048952397
382	0.1048186814
383	0.1047961432
384	0.1047598745
385	0.1046956857
386	0.1046951862
387	0.1046340502
388	0.1046314994
389	0.1046301416
390	0.104531583
391	0.1044986584
392	0.104444437
393	0.1044249425
394	0.1044245317
395	0.104415094
396	0.1043977483
397	0.1043970026
398	0.1043628314
399	0.10435707
400	0.1042660613
401	0.104110154
402	0.103918943
403	0.1039182293
404	0.1038326149
405	0.1038307915
406	0.1037687787
407	0.1036479252
408	0.1035746815
409	0.1035743208
410	0.1035724434
411	0.1035721091
412	0.1035036147
413	0.1034426609
414	0.1033756179
415	0.1032877962
416	0.1032874787
417	0.1032524367
418	0.1031622335
419	0.1031209262
420	0.1031206286
421	0.1030526766
422	0.1030523872
423	0.1030512601
424	0.1030459752
425	0.1029843147
426	0.1028407052
427	0.1027377051
428	0.1026968117
429	0.1026349782
430	0.1025515509
431	0.1024850998
432	0.1023652654
433	0.1023060956
434	0.1021950331
435	0.1021946959
436	0.102092553
437	0.1020016209
438	0.1019665058
439	0.1019662253
440	0.1018665866
441	0.1017745638
442	0.1017464325
443	0.1016734434
444	0.1015806667
445	0.1015389029
446	0.10143936
447	0.1013771276
