iter	Passed	Remaining
0	214	213910
1	254	127172
2	295	98076
3	342	85159
4	388	77220
5	437	72435
6	491	69670
7	541	67198
8	593	65385
9	646	63993
10	699	62930
11	753	62012
12	823	62508
13	901	63487
14	976	64100
15	1044	64256
16	1104	63859
17	1163	63482
18	1224	63214
19	1281	62807
20	1340	62502
21	1399	62203
22	1458	61961
23	1516	61674
24	1575	61427
25	1638	61381
26	1711	61686
27	1784	61955
28	1836	61474
29	1900	61444
30	1966	61480
31	2032	61489
32	2099	61516
33	2166	61555
34	2240	61771
35	2312	61917
36	2380	61952
37	2444	61896
38	2509	61836
39	2568	61649
40	2623	61358
41	2677	61062
42	2731	60793
43	2785	60512
44	2837	60224
45	2895	60042
46	2946	59741
47	2997	59442
48	3047	59143
49	3097	58847
50	3132	58294
51	3181	57996
52	3229	57713
53	3279	57451
54	3328	57196
55	3378	56952
56	3428	56726
57	3483	56583
58	3551	56639
59	3604	56476
60	3660	56349
61	3714	56196
62	3766	56021
63	3817	55835
64	3873	55722
65	3916	55429
66	3977	55391
67	4036	55318
68	4088	55171
69	4141	55018
70	4193	54863
71	4243	54694
72	4294	54531
73	4346	54385
74	4380	54024
75	4456	54179
76	4536	54380
77	4608	54474
78	4671	54461
79	4731	54412
80	4790	54347
81	4846	54252
82	4902	54165
83	4946	53944
84	5006	53890
85	5060	53779
86	5114	53672
87	5172	53609
88	5236	53598
89	5296	53558
90	5351	53452
91	5404	53343
92	5457	53222
93	5509	53100
94	5559	52960
95	5609	52820
96	5659	52685
97	5708	52543
98	5758	52405
99	5806	52261
100	5856	52130
101	5905	51989
102	5932	51667
103	5986	51572
104	6046	51541
105	6110	51538
106	6167	51469
107	6222	51389
108	6277	51310
109	6306	51025
110	6357	50917
111	6386	50639
112	6444	50586
113	6508	50583
114	6566	50530
115	6622	50471
116	6676	50384
117	6729	50298
118	6782	50211
119	6836	50135
120	6894	50082
121	6956	50063
122	7017	50034
123	7072	49965
124	7126	49882
125	7195	49915
126	7270	49980
127	7325	49901
128	7373	49785
129	7439	49789
130	7500	49757
131	7557	49693
132	7610	49613
133	7667	49552
134	7736	49568
135	7791	49497
136	7845	49419
137	7911	49418
138	7990	49494
139	8061	49520
140	8132	49544
141	8194	49511
142	8253	49460
143	8310	49403
144	8368	49347
145	8424	49274
146	8484	49231
147	8538	49154
148	8592	49075
149	8645	48992
150	8698	48908
151	8751	48823
152	8801	48726
153	8852	48631
154	8902	48531
155	8957	48460
156	9019	48431
157	9077	48372
158	9127	48278
159	9177	48182
160	9237	48139
161	9295	48084
162	9361	48070
163	9425	48044
164	9502	48087
165	9572	48094
166	9634	48059
167	9690	47989
168	9743	47911
169	9796	47829
170	9848	47747
171	9901	47663
172	9955	47589
173	10022	47579
174	10085	47543
175	10149	47518
176	10210	47477
177	10269	47423
178	10328	47373
179	10386	47315
180	10451	47290
181	10508	47231
182	10570	47191
183	10642	47196
184	10709	47181
185	10768	47127
186	10827	47075
187	10886	47021
188	10921	46862
189	10962	46735
190	11015	46658
191	11070	46586
192	11121	46501
193	11172	46417
194	11208	46269
195	11267	46220
196	11326	46167
197	11355	45995
198	11407	45918
199	11459	45839
200	11512	45763
201	11565	45687
202	11621	45629
203	11684	45591
204	11744	45544
205	11774	45384
206	11826	45306
207	11880	45236
208	11926	45137
209	11985	45087
210	12041	45027
211	12102	44985
212	12157	44920
213	12238	44949
214	12300	44910
215	12357	44853
216	12439	44885
217	12513	44887
218	12571	44831
219	12617	44734
220	12678	44691
221	12750	44682
222	12823	44681
223	12917	44751
224	13011	44818
225	13090	44831
226	13176	44868
227	13270	44932
228	13357	44971
229	13428	44956
230	13502	44949
231	13569	44919
232	13634	44883
233	13700	44849
234	13778	44853
235	13835	44790
236	13912	44788
237	13985	44776
238	14055	44755
239	14118	44708
240	14177	44650
241	14243	44613
242	14301	44552
243	14369	44522
244	14441	44502
245	14501	44447
246	14563	44396
247	14622	44338
248	14673	44256
249	14731	44194
250	14790	44134
251	14864	44120
252	14937	44104
253	15018	44109
254	15108	44140
255	15169	44085
256	15230	44031
257	15304	44014
258	15376	43991
259	15437	43936
260	15464	43785
261	15528	43740
262	15587	43681
263	15645	43616
264	15702	43552
265	15760	43489
266	15816	43421
267	15875	43362
268	15933	43297
269	15993	43240
270	16056	43193
271	16117	43137
272	16179	43086
273	16244	43041
274	16267	42887
275	16324	42822
276	16383	42762
277	16415	42632
278	16471	42565
279	16526	42497
280	16584	42434
281	16645	42380
282	16699	42310
283	16754	42240
284	16809	42171
285	16864	42103
286	16923	42044
287	16977	41971
288	17007	41841
289	17043	41728
290	17096	41653
291	17146	41575
292	17198	41500
293	17253	41431
294	17308	41365
295	17365	41300
296	17424	41244
297	17484	41187
298	17537	41116
299	17593	41052
300	17658	41008
301	17711	40936
302	17744	40818
303	17806	40766
304	17861	40700
305	17916	40634
306	17971	40567
307	18031	40511
308	18092	40458
309	18156	40411
310	18219	40363
311	18275	40300
312	18340	40254
313	18403	40206
314	18466	40156
315	18525	40099
316	18582	40036
317	18648	39995
318	18705	39932
319	18760	39865
320	18815	39798
321	18870	39733
322	18909	39633
323	18964	39567
324	19015	39493
325	19067	39421
326	19118	39346
327	19180	39296
328	19230	39221
329	19282	39149
330	19339	39087
331	19391	39016
332	19419	38897
333	19471	38826
334	19524	38756
335	19575	38684
336	19629	38617
337	19650	38486
338	19702	38417
339	19754	38347
340	19808	38281
341	19860	38211
342	19912	38141
343	19965	38074
344	20016	38002
345	20067	37930
346	20117	37858
347	20173	37795
348	20222	37721
349	20273	37651
350	20322	37576
351	20376	37511
352	20431	37447
353	20483	37379
354	20536	37311
355	20590	37247
356	20642	37179
357	20695	37113
358	20747	37044
359	20799	36977
360	20827	36867
361	20880	36799
362	20930	36729
363	20980	36658
364	21030	36586
365	21074	36505
366	21126	36438
367	21178	36371
368	21229	36302
369	21279	36232
370	21330	36163
371	21381	36095
372	21434	36031
373	21483	35959
374	21534	35890
375	21582	35817
376	21631	35746
377	21681	35676
378	21732	35608
379	21781	35537
380	21824	35457
381	21874	35389
382	21925	35320
383	21974	35250
384	22023	35180
385	22072	35109
386	22120	35039
387	22171	34970
388	22221	34903
389	22272	34836
390	22321	34766
391	22374	34702
392	22423	34634
393	22473	34566
394	22522	34496
395	22572	34428
396	22624	34364
397	22676	34299
398	22725	34230
399	22776	34164
400	22826	34097
401	22877	34032
402	22927	33964
403	22976	33896
404	23027	33831
405	23077	33763
406	23126	33695
407	23175	33627
408	23225	33560
409	23274	33493
410	23327	33430
411	23378	33365
412	23428	33298
413	23477	33230
414	23525	33162
415	23572	33092
416	23623	33027
417	23674	32963
418	23725	32898
419	23775	32832
420	23825	32767
421	23877	32704
422	23930	32642
423	23981	32578
424	24033	32515
425	24084	32451
426	24135	32387
427	24185	32322
428	24234	32256
429	24285	32192
430	24337	32130
431	24393	32072
432	24442	32006
433	24495	31946
434	24547	31883
